Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,1000000,0.000682831,n
5000,1000000,0.000492096,n
61396,1000000,0.000470877,n
152503,1000000,0.000524998,n
214826,1000000,0.000510931,n
322486,1000000,0.000471115,n
3128036,1000000,0.000497103,n
6337399,1000000,0.00049901,n
10393545,1000000,0.0006001,n
14700764,1000000,0.00050807,n
187645041,1000000,0.000485897,n
450057883,1000000,0.000591993,n
1295390003,1000000,0.000542164,n
1360839354,1000000,0.000570059,n
1493283650,1000000,0.000560045,s
1843349527,1000000,0.000485897,n
1980098116,1000000,0.000548124,n
2109248666,1000000,0.000431061,n
2147445644,1000000,0.000563145,n
2147470852,1000000,0.000486851,n
,,,
,,0.000526118,
