Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,1000000,0.0004899502,s
5000,1000000,0.0004990101,n
61396,1000000,0.0005509853,n
152503,1000000,0.0005409718,n
214826,1000000,0.0004518032,n
322486,1000000,0.0005080700,s
3128036,1000000,0.0005121231,s
6337399,1000000,0.0005009174,s
10393545,1000000,0.0004670620,s
14700764,1000000,0.0005149841,n
187645041,1000000,0.0004658699,n
450057883,1000000,0.0005199909,n
1295390003,1000000,0.0004689693,n
1360839354,1000000,0.0005090237,n
1493283650,1000000,0.0005300045,n
1843349527,1000000,0.0005171299,n
1980098116,1000000,0.0005550385,n
2109248666,1000000,0.0004940033,n
2147445644,1000000,0.0004570484,n
2147470852,1000000,0.0004949570,n
