Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,3000000,0.0005140305,s
5000,3000000,0.0004668236,n
61396,3000000,0.0004820824,n
152503,3000000,0.0004470348,n
214826,3000000,0.0004720688,n
322486,3000000,0.0004458427,s
3128036,3000000,0.0004749298,s
6337399,3000000,0.0006210804,s
10393545,3000000,0.0004608631,s
14700764,3000000,0.0004479885,n
187645041,3000000,0.0004260540,n
450057883,3000000,0.0048649311,n
1295390003,3000000,0.0004398823,n
1360839354,3000000,0.0004220009,n
1493283650,3000000,0.0005249977,n
1843349527,3000000,0.0004830360,n
1980098116,3000000,0.0006840229,n
2109248666,3000000,0.0004520416,n
2147445644,3000000,0.0006098747,n
2147470852,3000000,0.0005068779,n
