Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,9000000,0.0000011921,s
5000,9000000,0.0003831387,n
61396,9000000,0.0003581047,n
152503,9000000,0.0003509521,n
214826,9000000,0.0003569126,n
322486,9000000,0.0003440380,s
3128036,9000000,0.0003681183,s
6337399,9000000,0.0003719330,s
10393545,9000000,0.0003550053,s
14700764,9000000,0.0003340244,n
187645041,9000000,0.0003361702,n
450057883,9000000,0.0003569126,n
1295390003,9000000,0.0003921986,s
1360839354,9000000,0.0003659725,n
1493283650,9000000,0.0003662109,s
1843349527,9000000,0.0003590584,s
1980098116,9000000,0.0003619194,n
2109248666,9000000,0.0003440380,n
2147445644,9000000,0.0003221035,n
214747085,9000000,0.0003349781,n
