Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,2000000,0.0004589558,encontrado
5000,2000000,0.0005149841,No
61396,2000000,0.0004909039,No
152503,2000000,0.0005171299,No
214826,2000000,0.0004961491,No
322486,2000000,0.0004200935,encontrado
3128036,2000000,0.0005030632,encontrado
6337399,2000000,0.0004258156,encontrado
10393545,2000000,0.0005321503,encontrado
14700764,2000000,0.0004169941,No
187645041,2000000,0.0005230904,No
450057883,2000000,0.0004289150,No
1295390003,2000000,0.0005071163,No
1360839354,2000000,0.0004150867,No
1493283650,2000000,0.0005240440,No
1843349527,2000000,0.0004160404,No
1980098116,2000000,0.0005080700,No
2109248666,2000000,0.0004599094,No
2147445644,2000000,0.0004851818,No
2147470852,2000000,0.0005228519,No
