Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,7000000,0.0002970695,n
5000,7000000,0.0003151894,n
61396,7000000,0.0002341270,n
152503,7000000,0.0002729893,n
214826,7000000,0.0002961159,n
322486,7000000,0.0003690720,s
3128036,7000000,0.0003080368,s
6337399,7000000,0.0003590584,s
10393545,7000000,0.0003261566,s
14700764,7000000,0.0003302097,n
187645041,7000000,0.0003240108,n
450057883,7000000,0.0002920628,n
1295390003,7000000,0.0003521442,s
1360839354,7000000,0.0002911091,n
1493283650,7000000,0.0002930164,s
1843349527,7000000,0.0002870560,n
1980098116,7000000,0.0025491714,n
2109248666,7000000,0.0003170967,n
2147445644,7000000,0.0003042221,n
2147470852,7000000,0.0003139973,n
