Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,1000000,0.0024619102,N
5000,1000000,0.0025229454,N
61396,1000000,0.0023770332,N
152503,1000000,0.0024290085,N
214826,1000000,0.0025229454,N
322486,1000000,0.0024878979,N
3128036,1000000,0.0024549961,N
6337399,1000000,0.0033409595,N
10393545,1000000,0.0025458336,N
14700764,1000000,0.0031580925,N
187645041,1000000,0.0024259090,N
450057883,1000000,0.0024430752,N
1295390003,1000000,0.0023999214,N
1360839354,1000000,0.0027430058,N
1493283650,1000000,0.0015559196,Encontrad
1843349527,1000000,0.0027508736,N
1980098116,1000000,0.0025248528,N
2109248666,1000000,0.0032379627,N
2147445644,1000000,0.0024030209,N
2147470852,1000000,0.0025939941,N
