Numero a buscar, Tamaño n, Tiempo real, Encontrado
0,4000000,0.011686087,n
5000,4000000,0.011486054,n
61396,4000000,0.011667967,n
152503,4000000,0.011406899,n
214826,4000000,0.011427879,n
322486,4000000,0.01405406,n
3128036,4000000,0.011488199,n
6337399,4000000,0.011462927,n
10393545,4000000,0.011619806,n
14700764,4000000,0.011465788,n
187645041,4000000,0.02210021,n
450057883,4000000,0.012779951,n
1295390003,4000000,0.011768103,n
1360839354,4000000,0.022899151,n
1493283650,4000000,0.005858898,s
1843349527,4000000,0.011499882,n
1980098116,4000000,0.011748076,n
2109248666,4000000,0.020503998,n
2147445644,4000000,0.011395931,n
2147470852,4000000,0.011512041,n
,,,
,,0.012991595,
